review,cleaned_review
"Clear, pale lemon. Clean, medium plus intensity aroma of pineapple, honeysuckle, lemon curd. Dry, medium plus acidity, medium body and long finish.",clear pale lemon clean medium plus intensity aroma of pineapple honeysuckle lemon curd dry medium plus acidity medium body and long finish
Great sauv Blanc. Rich and fruity. Plenty of thick citrus flavor. It's velvety and buttery texture pairs nice with the deep pear and melon notes that appear at the finish. Probably the best sauv Blanc I've had. The oak is there but not overly perceptible. I'm so impressed at the balance of this wine. It doesn't do anything funky and let's you settle into a great summer day afternoon drink.,great sauv blanc rich and fruity plenty of thick citrus flavor its velvety and buttery texture pairs nice with the deep pear and melon notes that appear at the finish probably the best sauv blanc ive had the oak is there but not overly perceptible im so impressed at the balance of this wine it doesnt do anything funky and lets you settle into a great summer day afternoon drink
"2017 Vintage 
Enjoyed August 2019. 
Needed very little time to open. Quite an enjoyable Sauv Blanc. My notes are similar to those of Rocky T. Smooth, creamy, wonderful hints of citrus, melon with the addition of pear and peach flavors. Nice oak notes. I can understand if this would be too sweet or fruity for some, but I find that to be valuable to this SB, memorable, wanting more. This will be a go to for me. 
4.5-4.75","2017 vintage 
enjoyed august 2019 
needed very little time to open quite an enjoyable sauv blanc my notes are similar to those of rocky t smooth creamy wonderful hints of citrus melon with the addition of pear and peach flavors nice oak notes i can understand if this would be too sweet or fruity for some but i find that to be valuable to this sb memorable wanting more this will be a go to for me 
45475"
"Wow, this is a real treat, a beautifully balanced Cali sauvignon blanc. On the nose, there is a honeyed tropicality which partners with the usual grassy grapefruit. The palate unfolds as I taste more, with an ethereal body complementing the vibrant acidity. A finish for days. A truly lovely wine.

Thank you for the lovely gift, @[1|3969744|Carlos V]!","wow this is a real treat a beautifully balanced cali sauvignon blanc on the nose there is a honeyed tropicality which partners with the usual grassy grapefruit the palate unfolds as i taste more with an ethereal body complementing the vibrant acidity a finish for days a truly lovely wine

thank you for the lovely gift 13969744carlos v"
"This may be the best CA Sauvignon Blanc I’ve had. Fantastic structure though not overly acidic and slightly creamy mouthfeel. Complex wine with lingering finish. Lemon, lemon curd, floral notes. Super impressed with this wine.",this may be the best ca sauvignon blanc ive had fantastic structure though not overly acidic and slightly creamy mouthfeel complex wine with lingering finish lemon lemon curd floral notes super impressed with this wine
"Great Sauvignon blanc from one of our favorite producers. Sharp and acidic with a bit more alcohol than a typical Sauvignon blanc, this is a big bold wine. Melon pear apple and other tree fruits. It’s decadent while also being crisp. A great choice on a warm summer night. Can’t wait for the next bottle of this.",great sauvignon blanc from one of our favorite producers sharp and acidic with a bit more alcohol than a typical sauvignon blanc this is a big bold wine melon pear apple and other tree fruits its decadent while also being crisp a great choice on a warm summer night cant wait for the next bottle of this
"This is a consistently excellent Sauvignon Blanc from a steroid producer. The color is pale and straw. The nose and palate are perfectly synchronized with lovely notes of honeydew, apple, pear, and pineapple. There is none of that yucky acidic, grapefruit note that most producers are known for. The acidity is spot on. Delicious.",this is a consistently excellent sauvignon blanc from a steroid producer the color is pale and straw the nose and palate are perfectly synchronized with lovely notes of honeydew apple pear and pineapple there is none of that yucky acidic grapefruit note that most producers are known for the acidity is spot on delicious
"Dominus the Palate: Dominus & Beyond wine dinner at The Oven with Roland Herman, maison marques + domaines, attended with Nat & Ellingson’s 6/19/24. Merry was one of California’s first women winemakers & hated Sauv Blanc so drinks more like a Chardonnay. 1/3 highly floral Sauvignon Musque clone from Sancerre & 2/3 Shenandoah clone with classic herbal & grassy character. 18% new pack 6mo with biweekly lees stirring. Melon, apple & hints of kiwi. Paired with Bhutanese Vege. $59",dominus the palate dominus  beyond wine dinner at the oven with roland herman maison marques  domaines attended with nat  ellingsons 61924 merry was one of californias first women winemakers  hated sauv blanc so drinks more like a chardonnay 13 highly floral sauvignon musque clone from sancerre  23 shenandoah clone with classic herbal  grassy character 18 new pack 6mo with biweekly lees stirring melon apple  hints of kiwi paired with bhutanese vege 59
"One of my all time favorite Sav Blancs, beautiful floral aroma, with a mix of citrus and melon, beautifully balanced with the right crispness. Exceptional.",one of my all time favorite sav blancs beautiful floral aroma with a mix of citrus and melon beautifully balanced with the right crispness exceptional
"Wow!  As a nightcap watching my Falcons !

Huge nectarine, orange peel, soft vanilla infused oak moment.  Aging has added a subtle enjoyable oxidation! Wow!!! ","wow  as a nightcap watching my falcons 

huge nectarine orange peel soft vanilla infused oak moment  aging has added a subtle enjoyable oxidation wow "
"Absolutely amazing burst of citrus with notes of honey, apricot, and pear. Would drink again and again. Paired it with a vegetable orzo in caramelized tomato sauce with shrimp.",absolutely amazing burst of citrus with notes of honey apricot and pear would drink again and again paired it with a vegetable orzo in caramelized tomato sauce with shrimp
"Would have guessed it was a chard almost. Really smooth. Very different than any other sav blanc and in a good/cool way
","would have guessed it was a chard almost really smooth very different than any other sav blanc and in a goodcool way
"
2018 vintage.  Light and clean color.  Melon notes and pepper and high powered finish.  Would buy again.,2018 vintage  light and clean color  melon notes and pepper and high powered finish  would buy again
citrus oak peach pear tropical melon cream grapefruit lemon pineapple minerals apple apricot honeysuckle stone fruit,citrus oak peach pear tropical melon cream grapefruit lemon pineapple minerals apple apricot honeysuckle stone fruit
Tropical fruits.  My favorite sauv blanc.  Loses flavors if gets too warm.  Just cool it down and the flavors come back.,tropical fruits  my favorite sauv blanc  loses flavors if gets too warm  just cool it down and the flavors come back
citrus oak peach pear tropical melon cream butter grapefruit lemon pineapple vanilla minerals apple honey stone green apple honeysuckle,citrus oak peach pear tropical melon cream butter grapefruit lemon pineapple vanilla minerals apple honey stone green apple honeysuckle
"Brought this home from winery. Fresh, light, crisp but still very flavorful and well balanced. Would definitely get again.",brought this home from winery fresh light crisp but still very flavorful and well balanced would definitely get again
"One of the best Sauvignon Blancs on this continent.  Body, balance, and depth are spot on. Flavors of citrus, tropical fruit, with good minerality and acidity.",one of the best sauvignon blancs on this continent  body balance and depth are spot on flavors of citrus tropical fruit with good minerality and acidity
"Pale green gold in the glass. Pineapple, tropical fruits on the nose with bright acidity. Green apple, stone and a lingering finish. Absolutely fantastic always.",pale green gold in the glass pineapple tropical fruits on the nose with bright acidity green apple stone and a lingering finish absolutely fantastic always
Sept with the Kwon’s. Best combination of Sav Blanc and Chardonnay flavors,sept with the kwons best combination of sav blanc and chardonnay flavors
Just really good. ,just really good 
Outstanding white. I taste citrus and peach,outstanding white i taste citrus and peach
citrus oak pear grapefruit,citrus oak pear grapefruit
grapefruit pear cream oak lime guava,grapefruit pear cream oak lime guava
"As good as a Sauvignon Blanc can get. It’s soft, crisp, and full of flavor. Highly recommend!",as good as a sauvignon blanc can get its soft crisp and full of flavor highly recommend
Honeysuckle floral lemon curd. Big bold flavors very light color. Super cool.,honeysuckle floral lemon curd big bold flavors very light color super cool
"One of the most unusual, unique sauvignon blancs I have ever had. It's more round, less crisp, but still refreshing. Loved it. ",one of the most unusual unique sauvignon blancs i have ever had its more round less crisp but still refreshing loved it 
This is an outstanding sav blanc- really enjoyed this l. Definitely will be buying more of this,this is an outstanding sav blanc really enjoyed this l definitely will be buying more of this
At home:  peach cream yummy,at home  peach cream yummy
"Delicious as always. Crisp green apples, melon, honey, citrus, yeast, and hay.",delicious as always crisp green apples melon honey citrus yeast and hay
"Peach, sweet melon and vanilla ",peach sweet melon and vanilla 
Fruity - peach and pineapple,fruity  peach and pineapple
Nose to taste butter orchide peach taste to pallet Quincy peach pear lychi ,nose to taste butter orchide peach taste to pallet quincy peach pear lychi 
"Green apple, light stone fruits, more medium body and less crisp than the NZ offerings.  ",green apple light stone fruits more medium body and less crisp than the nz offerings  
"Light, fruity, pear and caramel with a hint of oak a s cinnamon ",light fruity pear and caramel with a hint of oak a s cinnamon 
"Light, buttery Sauv Blanc. Excellent with the Sea Bass at Kaluuz",light buttery sauv blanc excellent with the sea bass at kaluuz
4.3 Sharp tarty apple with a bretty flavor and a dry viney finish.,43 sharp tarty apple with a bretty flavor and a dry viney finish
Just love it,just love it
Excellent acidity and balance of fruit and alcohol. ,excellent acidity and balance of fruit and alcohol 
Smooth and fruity. Great with seafood. ,smooth and fruity great with seafood 
"Good acidity, balance, rounded body and lots of fruit. Lovely minerality, citrus and stone fruits",good acidity balance rounded body and lots of fruit lovely minerality citrus and stone fruits
Pineapples and creamy.,pineapples and creamy
Best SB in the entire New World. ,best sb in the entire new world 
Beautiful. I thought the 2018 was significantly better than the 2016. This brand went a long way to earning my trust back! Will revisit. ,beautiful i thought the 2018 was significantly better than the 2016 this brand went a long way to earning my trust back will revisit 
Chef Tre dinner Oct2020,chef tre dinner oct2020
Nice melon wine. If you look at the label,nice melon wine if you look at the label
"Creamy, very smooth, very low tannins , not fruit forward , lovely ",creamy very smooth very low tannins  not fruit forward  lovely 
One of my all time favorites. ,one of my all time favorites 
One of my favorite wines. ,one of my favorite wines 
"Consistently delicious wine! Stone fruits, round mouthful, medium full body, long finish. ",consistently delicious wine stone fruits round mouthful medium full body long finish 
One of my favorite whites!  Perfect for the summer ,one of my favorite whites  perfect for the summer 
"As Sauv Blancs go....THIS IS STELLER!!!!  Crisp, clean, sugar Brix balanced and worth every dime +",as sauv blancs gothis is steller  crisp clean sugar brix balanced and worth every dime 
"Interesting, unusual Sauvignon Blanc. Would rather pair it with poultry than with seafood. ",interesting unusual sauvignon blanc would rather pair it with poultry than with seafood 
"Super clean. Fruity, full bodied, ripe but still balanced with the acidity. Thanks Stephen ",super clean fruity full bodied ripe but still balanced with the acidity thanks stephen 
"Smooth, pear, and apple notes. Just delightful ",smooth pear and apple notes just delightful 
"Light, great flavor",light great flavor
Delightful sauv blanc. Long and complex. ,delightful sauv blanc long and complex 
Fruit with good acidity. Smooth,fruit with good acidity smooth
Love love love 💗 SB with a long finish and such complexity ,love love love  sb with a long finish and such complexity 
"Simply delicious summer fare.  However, similar quality available from down under for much less $. Enjoy.",simply delicious summer fare  however similar quality available from down under for much less  enjoy
"had the 2019. pretty solid sauv blanc— had nice balance and reasonable complexity without too many vegetal elements. got notes of carmelized pear, hay, lemongrass, and crisp green apple. some ML occurred, as i felt it on the palate and in the slight butter flavors. however, not worth $50.",had the 2019 pretty solid sauv blanc had nice balance and reasonable complexity without too many vegetal elements got notes of carmelized pear hay lemongrass and crisp green apple some ml occurred as i felt it on the palate and in the slight butter flavors however not worth 50
Had in Vegas - just tasted since I ordered for everyone.  Sweeter. On the floral side.  Good for wine newbies.  Not overly complex.  Not boring though.  Fruity bouquet and pleasing to the masses. ,had in vegas  just tasted since i ordered for everyone  sweeter on the floral side  good for wine newbies  not overly complex  not boring though  fruity bouquet and pleasing to the masses 
"Flavors of tropical fruit are dominant, but also melon, pear, lemon, floral honeysuckle, and definitely spent some time in oak with butter and sur lie with that creaminess.",flavors of tropical fruit are dominant but also melon pear lemon floral honeysuckle and definitely spent some time in oak with butter and sur lie with that creaminess
"Beautiful Sauvignon Blanc with intense, ripe fruits. Citrus, mango, pineapple, balanced 
","beautiful sauvignon blanc with intense ripe fruits citrus mango pineapple balanced 
"
Wonderful fruit forward very drinkable wine!,wonderful fruit forward very drinkable wine
"4.7
The king of CA SB! I’ve loved the 2019 vintage from high quality producers and Merry Edwards doesn’t disappoint! Rich lemon oil, apricot, honeysuckle. Smooth like a Chablis!","47
the king of ca sb ive loved the 2019 vintage from high quality producers and merry edwards doesnt disappoint rich lemon oil apricot honeysuckle smooth like a chablis"
"Medium-bodied, off-dry and aromatic, melon, peach, lemon, kumquat, vanilla, chamomile, cotton candy, white flowers, marshmallow, butter, white pepper, cream, straw, oak",mediumbodied offdry and aromatic melon peach lemon kumquat vanilla chamomile cotton candy white flowers marshmallow butter white pepper cream straw oak
"Smooth,  but seems sweet for a sauv blanc.  Very light lemon,  lower acidity, melon,  butter,  pineapple,  easy to drink,  chicken picatta made this taste sweet",smooth  but seems sweet for a sauv blanc  very light lemon  lower acidity melon  butter  pineapple  easy to drink  chicken picatta made this taste sweet
Merry Edwards and happy kwanza! This bomb ass dank ass (BADA) slashes the palette with orange PEEL and lemon PITH. Don’t get your citrus anatomy twisted,merry edwards and happy kwanza this bomb ass dank ass bada slashes the palette with orange peel and lemon pith dont get your citrus anatomy twisted
Has a sweet note though finishes more dry. In a pinch seems okay but not my favorite!,has a sweet note though finishes more dry in a pinch seems okay but not my favorite
Still luscious and delicious it has a great lemon Crisp pear ,still luscious and delicious it has a great lemon crisp pear 
"Floral, vanilla, melon, orange, clementine, pineapple, lychee",floral vanilla melon orange clementine pineapple lychee
citrus peach pear tropical melon cream Wauv! ,citrus peach pear tropical melon cream wauv 
Smooth! Surprising SB! Epic French Dinner 2023,smooth surprising sb epic french dinner 2023
"Interesting sauv blanc, drinks like a chardonnay",interesting sauv blanc drinks like a chardonnay
USeX2 tasting citrus oak peach pear tropical melon cream butter ,usex2 tasting citrus oak peach pear tropical melon cream butter 
Very good. Not sure how an SB is going to rate more than 4 starts from me.  citrus tangerine,very good not sure how an sb is going to rate more than 4 starts from me  citrus tangerine
Apple pear mint. Easy going white. ,apple pear mint easy going white 
"Clean opening, slowly creamy aroma of honey appears. At Enoteca after shopping.",clean opening slowly creamy aroma of honey appears at enoteca after shopping
Silky smooth with a beautiful light nose. What a SB should be when it isn't a grapefruit bomb.,silky smooth with a beautiful light nose what a sb should be when it isnt a grapefruit bomb
"pear
green apple
zest","pear
green apple
zest"
"Red, white and blue tasting. Lightly oaked. Tropical fruit.",red white and blue tasting lightly oaked tropical fruit
"Floral, bananas, great easy to drink",floral bananas great easy to drink
"Wet grass on the nose with hints of lemon, honeysuckle, and cantaloupe. Nice wine.",wet grass on the nose with hints of lemon honeysuckle and cantaloupe nice wine
"Very well made
 citrus peach tropical pear minerals
Excellent quality to price ratio","very well made
 citrus peach tropical pear minerals
excellent quality to price ratio"
Drank Sept 2023 at California Grill: Pear and tangerine,drank sept 2023 at california grill pear and tangerine
"Phenomenal aperitif. Sour gasoline on the nose with unripe citrus fruits. Finish has medium acidity but a surprisingly subtle, creamy finish. ",phenomenal aperitif sour gasoline on the nose with unripe citrus fruits finish has medium acidity but a surprisingly subtle creamy finish 
"Incredible Sauvignon Blanc. Honeydew melon, nectarine, some hints of lime and some kind of hazelnut notes. Just really enjoyable",incredible sauvignon blanc honeydew melon nectarine some hints of lime and some kind of hazelnut notes just really enjoyable
Wow! Green apple with citrus and mineral undertones with very nice balance and smoothness. Not tart at all. Will definitely stock up on for summer ,wow green apple with citrus and mineral undertones with very nice balance and smoothness not tart at all will definitely stock up on for summer 
"CA SB probably does t get better than this. Medium bodied and elegant with lemon tart, nectarine, and tropical fruit. Pricy for SB but worth it.",ca sb probably does t get better than this medium bodied and elegant with lemon tart nectarine and tropical fruit pricy for sb but worth it
"Wine 2...

First RR SB and what an experience.  Oak with SB, so interesting.  Complex, buttery, lemony, straight up delicious!","wine 2

first rr sb and what an experience  oak with sb so interesting  complex buttery lemony straight up delicious"
"Always top quality Sauvignon, but at a premium. Citrus on the nose leads to creamy pear, honeydew and grapefruit. Intoxicating.",always top quality sauvignon but at a premium citrus on the nose leads to creamy pear honeydew and grapefruit intoxicating
Amazing SB. Finishes with some strong minerality with a melon ball.  Get a juicy stone fruit in there.  Not green apple.but citrus,amazing sb finishes with some strong minerality with a melon ball  get a juicy stone fruit in there  not green applebut citrus
"Citrus zest on nose, medium body, dry, acidic, complex palate.  Outstanding Sauvignon Blanc for a good price.  Merry Edwards rocks!  93/100.",citrus zest on nose medium body dry acidic complex palate  outstanding sauvignon blanc for a good price  merry edwards rocks  93100
"An exquisite wine.  So much floral and fruit aromas.  Not the usual grassy nose that is common for the varietal. A very classy, elegant wine. ",an exquisite wine  so much floral and fruit aromas  not the usual grassy nose that is common for the varietal a very classy elegant wine 
"Beautiful as always. Perfect with so many foods, especially on Valentine's. This wine never fails to impress. Merry's  version of SB is sublime. ",beautiful as always perfect with so many foods especially on valentines this wine never fails to impress merrys  version of sb is sublime 
"Golden color, nose is fruity. Just trying a small sip. Very smooth, very crisp. Beautiful notes of various apples. Absolutely delicious.",golden color nose is fruity just trying a small sip very smooth very crisp beautiful notes of various apples absolutely delicious
"Crisp green apple and pear. Picked up on some oak notes. Reminiscent of a Chardonnay. Delightful, well balanced wine that leaves you wanting more. ",crisp green apple and pear picked up on some oak notes reminiscent of a chardonnay delightful well balanced wine that leaves you wanting more 
Never thought Sauvignon Blanc could be this sophisticated. An eye opening experience and reminder of how you can be humbled. ,never thought sauvignon blanc could be this sophisticated an eye opening experience and reminder of how you can be humbled 
"Bright citrus scents: lemon, maybe grapefruit.  Lemon and tropical fruits--grapefruit or dragon fruit.  Crisp and brightly acidic. ",bright citrus scents lemon maybe grapefruit  lemon and tropical fruitsgrapefruit or dragon fruit  crisp and brightly acidic 
Best California Sauvignon Blanc.  Medium gold color Balanced with melon citrus and hint of grass  Reminds me of my favorite French Sancerre ,best california sauvignon blanc  medium gold color balanced with melon citrus and hint of grass  reminds me of my favorite french sancerre 
"I can't praise this one enough. Great citrus and flowery nose, and similar palate. No grassiness at all. Went very well with a scallop crudo. ",i cant praise this one enough great citrus and flowery nose and similar palate no grassiness at all went very well with a scallop crudo 
"Pale yellow color, lemon & honeydew on nose, fruity, peach with mineral, lovely brightness, roundness on finish, well balanced medium body white.",pale yellow color lemon  honeydew on nose fruity peach with mineral lovely brightness roundness on finish well balanced medium body white
The perfect Sauvignon Blanc. A bit sweeter than traditional SB but offsets the medium-plus acidity. Dry and tart. Fan. Fukn. Tastic. ,the perfect sauvignon blanc a bit sweeter than traditional sb but offsets the mediumplus acidity dry and tart fan fukn tastic 
Mayfair las vegas,mayfair las vegas
"Bright , Meyer lemon infused , smooth finish ",bright  meyer lemon infused  smooth finish 
Vanilla oak lemon grass mineral peach stonefruit pineapple ,vanilla oak lemon grass mineral peach stonefruit pineapple 
"Fresh and expressing
Cheers!","fresh and expressing
cheers"
 Very crisp and delightful.  Would recommend to anyone , very crisp and delightful  would recommend to anyone 
"Fruta and floral on the nose. Balanced, complex and nice lasting.  Loved it",fruta and floral on the nose balanced complex and nice lasting  loved it
Such a great and intensive SB,such a great and intensive sb
"Very nice with fairly bold body. Tropical fruit, definitely some butter notes and with a mineral finish.  Very nice and complex. ",very nice with fairly bold body tropical fruit definitely some butter notes and with a mineral finish  very nice and complex 
Soft finish. Not too strong in any direction in terms of flavor profile.,soft finish not too strong in any direction in terms of flavor profile
"Smooth. Low pleasant acidity. Nice yellow color. Notes of citrus, minerals, apple, stone, a little oak. Nicely balanced and enjoyable.",smooth low pleasant acidity nice yellow color notes of citrus minerals apple stone a little oak nicely balanced and enjoyable
"Subtle and refined. Papaya and brûléed grapefruit, touch of honeysuckle. Delicious. ",subtle and refined papaya and brûléed grapefruit touch of honeysuckle delicious 
"Apple on the nose, citrus, green apple, and sherry on the palate.",apple on the nose citrus green apple and sherry on the palate
Wow. Best Sauvignon Blanc I can remember. Really fresh melon lychee. I’ll look to buy this again. ,wow best sauvignon blanc i can remember really fresh melon lychee ill look to buy this again 
Toasty and delicious similar to a good chardonnay,toasty and delicious similar to a good chardonnay
I enjoyed this 2020 just as much as the 2018. Lovely fruit with a beautiful creamy and oily palate and a long finish.,i enjoyed this 2020 just as much as the 2018 lovely fruit with a beautiful creamy and oily palate and a long finish
"Very smooth, Melon, pear, citrus , vanilla, grapefruit. Two votes of 4.4 and 4.3. Dinner at La Gare in Santa Rosa.",very smooth melon pear citrus  vanilla grapefruit two votes of 44 and 43 dinner at la gare in santa rosa
"Consistently great. Had this at the Mazzeos’ house for a poker night in 4.28.23, with them and Janice. Great night!",consistently great had this at the mazzeos house for a poker night in 42823 with them and janice great night
"Top notch! Apple, pear, and lemon notes on the nose. Ripe pear flavors and slight citrus up front. Buttery and smooth with minerals and floral in the middle and end that are just right. This paired beautifully with wood-fired pizza, arugula and cauliflower. Highly recommend.",top notch apple pear and lemon notes on the nose ripe pear flavors and slight citrus up front buttery and smooth with minerals and floral in the middle and end that are just right this paired beautifully with woodfired pizza arugula and cauliflower highly recommend
"Pale straw colored and showing nice viscosity in the glass it wafts aromas of lemon chiffon. The nuanced yellow apple, starfruit, bell pepper, honeysuckle & white pepper flavors on the palate show with lean lightly salted mineral in excellent balance. This medium bodied wine is set with medium acidity, finishing with a tiny glint of hazelnut. Bx92, ws95",pale straw colored and showing nice viscosity in the glass it wafts aromas of lemon chiffon the nuanced yellow apple starfruit bell pepper honeysuckle  white pepper flavors on the palate show with lean lightly salted mineral in excellent balance this medium bodied wine is set with medium acidity finishing with a tiny glint of hazelnut bx92 ws95
"Ripe, rich, and enticing. Plenty tropical aroma with a a uniquely nutty twist and extra heavy mouthfeel from new oak fermentation and lee aging. The weight of the wine is reflected by the weight of the bottle (thick glass for extra effect). Bring this wine to any dinner party, your guests will be impressed.",ripe rich and enticing plenty tropical aroma with a a uniquely nutty twist and extra heavy mouthfeel from new oak fermentation and lee aging the weight of the wine is reflected by the weight of the bottle thick glass for extra effect bring this wine to any dinner party your guests will be impressed
"Pale lemon in appearance
Nose: pronounced aromas of grapefruit, gooseberry, grass, papaya, apricot, honeysuckle, vanilla and yogurt 
Palate: off-dry (has a touch of RS), medium + acidity, medium alcohol, medium body with a creamy mouthfeel, pronounced intensity of flavors that confirm the nose, long finish 

Outstanding wine, drink now. 
Less .2 because ~$50 can get a lot of great wine outside of Sauvignon Blanc.","pale lemon in appearance
nose pronounced aromas of grapefruit gooseberry grass papaya apricot honeysuckle vanilla and yogurt 
palate offdry has a touch of rs medium  acidity medium alcohol medium body with a creamy mouthfeel pronounced intensity of flavors that confirm the nose long finish 

outstanding wine drink now 
less 2 because 50 can get a lot of great wine outside of sauvignon blanc"
"The aroma is compelling, virtually reaching out and grabbing our attention. Yellow peach, melon, guava and crisp Fuji apple are accented with hints of tropical mango and pineapple. Lime, Minneola tangelo and orange blossom lend citrus notes. Accents of dry summer grass, vanilla-toned panna cotta and toasted crème brûlée create complexity. ",the aroma is compelling virtually reaching out and grabbing our attention yellow peach melon guava and crisp fuji apple are accented with hints of tropical mango and pineapple lime minneola tangelo and orange blossom lend citrus notes accents of dry summer grass vanillatoned panna cotta and toasted crème brûlée create complexity 
"Straw yellow. Lovely aromatic peach, pear, apricot, cinnamon nose. Sweet stone fruit palate. Medium plus body, firm acidity, smooth finish. The common Sauvignon blanc clone is blended with 30% Sauvignon musque, giving it higher residual sugar to support the sweet experience.",straw yellow lovely aromatic peach pear apricot cinnamon nose sweet stone fruit palate medium plus body firm acidity smooth finish the common sauvignon blanc clone is blended with 30 sauvignon musque giving it higher residual sugar to support the sweet experience
"Straw in color, and notes of pineapple, tropical fruit, lemon zest, and a hint of oak. Extremely well balanced with slight acidity. Notes of citrus, tropical fruit, pineapple, and a hint of vanilla from the oak. Amazing California Sauvignon Blanc",straw in color and notes of pineapple tropical fruit lemon zest and a hint of oak extremely well balanced with slight acidity notes of citrus tropical fruit pineapple and a hint of vanilla from the oak amazing california sauvignon blanc
"THE BEST SAUV I’VE EVER TASTED. Holy schmoly!!!! A knockout of a wine. Oaky and buttery, has some beautifully seductive caramel toasty notes…but also passion fruit, rose and hints of honeysuckle. showstopper. Oooh! Mind blowing. 🤯",the best sauv ive ever tasted holy schmoly a knockout of a wine oaky and buttery has some beautifully seductive caramel toasty notesbut also passion fruit rose and hints of honeysuckle showstopper oooh mind blowing 
"Clear Lt lemon yellow. Clean, delicate juicy apricot mineral. Lt body med-acid Lt alcohol. Fresh bright mid. Long mineral lemon finish. 100% neural French oak. 6-8 month surlee. Very tasty delicate unique fume blanc. ",clear lt lemon yellow clean delicate juicy apricot mineral lt body medacid lt alcohol fresh bright mid long mineral lemon finish 100 neural french oak 68 month surlee very tasty delicate unique fume blanc 
Very floral on nose and palate. Pale straw hue with prominent Lily of the Valley perfume and baby’s breath. Moderately acidic with cantaloupe melon and peach coming through. Well rounded in body and mouthfeel.,very floral on nose and palate pale straw hue with prominent lily of the valley perfume and babys breath moderately acidic with cantaloupe melon and peach coming through well rounded in body and mouthfeel
"One of the most buttery Sauvignons I’ve had. Plenty lime and green apple, passion fruit, and peach coming to the front palate. Summer cut grass and herbaceous notes of green bell pepper. Not the most frugal buy but for that special one - she will absolutely love it.",one of the most buttery sauvignons ive had plenty lime and green apple passion fruit and peach coming to the front palate summer cut grass and herbaceous notes of green bell pepper not the most frugal buy but for that special one  she will absolutely love it
"Fantastic, it has undertones of oak but still has that classic SB flavor, it’s really well balanced and smooth: a truly unique Sauvignon Blanc ",fantastic it has undertones of oak but still has that classic sb flavor its really well balanced and smooth a truly unique sauvignon blanc 
"Amazing wine. Easy drinking, full of flavor, and refreshing. Tangy. Hints of butter. Peaches. Crisp apples, like the crunchy kinds. Spiced vanilla. Really good. ",amazing wine easy drinking full of flavor and refreshing tangy hints of butter peaches crisp apples like the crunchy kinds spiced vanilla really good 
"Absolutely insane glass!
Not at all what you think when you say Sb.
Completely liquid gold, melted in the mouth.
Notes of: citrus fruit, oak, cream, honey.","absolutely insane glass
not at all what you think when you say sb
completely liquid gold melted in the mouth
notes of citrus fruit oak cream honey"
"What a beautiful Sav Blanc
Crisp and a hint of sweetness probably from the white peach 🍑 hints
Learned at the winery that they make 10k cases of this wine 
Loved it","what a beautiful sav blanc
crisp and a hint of sweetness probably from the white peach  hints
learned at the winery that they make 10k cases of this wine 
loved it"
citrus oak pear peach tropical melon lemon,citrus oak pear peach tropical melon lemon
"Truly delicious, made in the classic old- world style.  Beautiful balance of fruit and acidity.  A real treasure from the Russian River!",truly delicious made in the classic old world style  beautiful balance of fruit and acidity  a real treasure from the russian river
"Dry white with honey, apple and minerality. Very good",dry white with honey apple and minerality very good
Had at Bully Boy with oysters and tuna wraps. It was amazing. ,had at bully boy with oysters and tuna wraps it was amazing 
@ butter butter citrus oak , butter butter citrus oak 
Great 💖,great 
"Top notch sauv blanc, stone fruit and citrus notes, but a balanced sweetness contributed to a higher than expected abv at 14% - notes of honeysuckle",top notch sauv blanc stone fruit and citrus notes but a balanced sweetness contributed to a higher than expected abv at 14  notes of honeysuckle
2/13/24 Leigh Ann B brought to book club night at our house. E & I enjoyed w/ caviar on V-day.,21324 leigh ann b brought to book club night at our house e  i enjoyed w caviar on vday
"Round soft mouthfeel - much smoother than the average Sauvignon Blanc. Very smooth with notes of pear, lemon and maybe apricot. Lovely wine! ",round soft mouthfeel  much smoother than the average sauvignon blanc very smooth with notes of pear lemon and maybe apricot lovely wine 
"Absolutely loved this - husband splurged on an anniversary wine and this was delicious! Don’t expect a NZ because this is from Cali; does bear some resemblance but is bright, smooth, and well balanced. Try this!",absolutely loved this  husband splurged on an anniversary wine and this was delicious dont expect a nz because this is from cali does bear some resemblance but is bright smooth and well balanced try this
"Straw Color in the glass. Floral, Spices, Vanilla, Stone Fruit and Honey on the nose. Peach 🍑 Pear 🍐 and Ripe Honey Dew Melon 🍈 on the palate. Lime Peel, Orange Peel, Peppery Spices and a creamy long Finish This is ..My favorite SB from California....",straw color in the glass floral spices vanilla stone fruit and honey on the nose peach  pear  and ripe honey dew melon  on the palate lime peel orange peel peppery spices and a creamy long finish this is my favorite sb from california
"Fuller bodied Sauvignon Blanc that explodes with flavor, while retaining a crispness and levity that you’d hope to experience from a top quality SB. Apricot, peach, pear and lemon curd notes most prominent. ",fuller bodied sauvignon blanc that explodes with flavor while retaining a crispness and levity that youd hope to experience from a top quality sb apricot peach pear and lemon curd notes most prominent 
"On the Sauvignon Blanc spectrum, falls between the stone fruit driven and the tart tropical fruit driven types. More like a white Bordeaux- well balanced, a degree of minerality. Rather high ABV, but not evident in the palate. Very pricey. P246",on the sauvignon blanc spectrum falls between the stone fruit driven and the tart tropical fruit driven types more like a white bordeaux well balanced a degree of minerality rather high abv but not evident in the palate very pricey p246
