review,cleaned_review
"Great Sauvignon Blanc,  one of the best I’ve tasted with Green Apple and Honey flavors on the palate.",great sauvignon blanc  one of the best ive tasted with green apple and honey flavors on the palate
On the frutier side for SBs. Great taste of melon that fills the mouth. Awesome bottle design as well ,on the frutier side for sbs great taste of melon that fills the mouth awesome bottle design as well 
"Pale pale straw, pear and sweetness on the nose that continues on the palate. Almost tastes like a late harvest",pale pale straw pear and sweetness on the nose that continues on the palate almost tastes like a late harvest
"I saw a creamy pear comment and I feel like that was a spot on description, good first impression.  $40",i saw a creamy pear comment and i feel like that was a spot on description good first impression  40
"This wine is just balanced, smooth, beautiful. Round melon, mineral, pear. It’s just delicious. Perfect Sauvignon Blanc ",this wine is just balanced smooth beautiful round melon mineral pear its just delicious perfect sauvignon blanc 
"Definitely a tropical fruit forward, flavorful SB. Full body and concentration can stand up to rich shrimp and lobster. ",definitely a tropical fruit forward flavorful sb full body and concentration can stand up to rich shrimp and lobster 
"Pleasant scent, light pear on the nose. Pear, hints of earth and a finish of green apple on the tongue. Light and mildly bright.",pleasant scent light pear on the nose pear hints of earth and a finish of green apple on the tongue light and mildly bright
"A strange sauv Blanc, creamy and rich with a peppery finish.  A hint of sweetness.  I would have sworn it was a Viognier.",a strange sauv blanc creamy and rich with a peppery finish  a hint of sweetness  i would have sworn it was a viognier
"Very good sauvignon blanc, but in american style; fuller and fruitier than the Europeans. Balance is very good though.",very good sauvignon blanc but in american style fuller and fruitier than the europeans balance is very good though
"This is the dream. Almost creamy on the finish, more depth than one would expect from a Sauv. Could drink this all day! ",this is the dream almost creamy on the finish more depth than one would expect from a sauv could drink this all day 
"Hot vintage, light colour and golden green flecks.
Nose of white pineapple, sticks on the nose in a viscous lemon oil way. Savoury mixed green herbs and grilled peaches.
The palate is an equally complex attack of melon and creamy kiwi. The finish is salty and mineral focused with a slight sweet lift. The mouth feel and particularly the nose grow in breadth and weight as it opens.
A truly sublime pairing with grilled asparagus, sauce Gribiche, ham, Parmesan and lemon oil.","hot vintage light colour and golden green flecks
nose of white pineapple sticks on the nose in a viscous lemon oil way savoury mixed green herbs and grilled peaches
the palate is an equally complex attack of melon and creamy kiwi the finish is salty and mineral focused with a slight sweet lift the mouth feel and particularly the nose grow in breadth and weight as it opens
a truly sublime pairing with grilled asparagus sauce gribiche ham parmesan and lemon oil"
